global_idx,file,row,col,lat,lon,err
5212431,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,787,536,40.429487845554775,49.932046584027894,0.003857892
272563,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,133,179,40.48823766513619,49.716001758197145,0.003857685
7177207,Baku_Sentinel_TimeSeries-0000002048-0000000000.tif,163,1015,40.30156774909616,49.79110091594954,0.0038576499
3860742,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1885,262,40.33085282735845,49.72345777505534,0.0038575942
3858439,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1884,7,40.33094265888686,49.700550735310294,0.0038575716
7157244,Baku_Sentinel_TimeSeries-0000002048-0000000000.tif,153,1532,40.302466064380276,49.83754381613852,0.0038575549
1377963,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,672,1707,40.43981847132215,49.85326433361061,0.0038575432
3310263,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1616,695,40.35501750850126,49.76235482685772,0.0038574992
498979,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,243,1315,40.478356197010875,49.818050374473124,0.0038574273
3870414,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1889,1742,40.3304935012448,49.85640843710503,0.0038573584
2569119,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1254,927,40.387536521786394,49.78319574144929,0.0038573332
7149396,Baku_Sentinel_TimeSeries-0000002048-0000000000.tif,149,1876,40.30282539049392,49.86844586191223,0.0038573258
6594271,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1856,159,40.3334579416824,49.898180097816585,0.003857307
2101308,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1026,60,40.408018110264315,49.705311806316125,0.0038571248
3976827,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1941,1659,40.32582226176738,49.84895242024684,0.0038569856
5633400,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1112,1280,40.40029259882089,49.99888124116639,0.0038569793
1806732,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,882,396,40.42095385035564,49.73549519986254,0.0038569688
2854410,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1393,1546,40.37504993933713,49.838801457536285,0.0038569274
5027589,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,644,593,40.44233375411768,49.93716698114737,0.0038563816
2694883,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1315,1763,40.382056798553265,49.85829489920168,0.0038563372
2059059,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1005,819,40.409904572360965,49.773493936380795,0.0038562925
2693749,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1315,629,40.382056798553265,49.75642594598253,0.0038561532
1795152,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,876,1104,40.42149283952611,49.79909592197821,0.0038560412
5327027,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,876,55,40.42149283952611,49.88883761886174,0.0038560356
4539672,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,267,137,40.476200240328986,49.89620380419152,0.0038560256
4754451,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,433,278,40.46128820661261,49.90887004969761,0.0038559984
3370517,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1645,1557,40.35241239417732,49.839789604348816,0.0038559658
944154,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,461,26,40.45877292381707,49.70225753435012,0.0038558901
7156959,Baku_Sentinel_TimeSeries-0000002048-0000000000.tif,153,1247,40.302466064380276,49.811941830541116,0.0038558424
2062164,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1006,1876,40.40981474083256,49.86844586191223,0.0038556869
5671320,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1142,410,40.39759765296853,49.92072781144799,0.0038556317
5195565,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,774,479,40.43065565542413,49.92692618690841,0.0038555455
1339812,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,654,420,40.441435438833565,49.73765115654443,0.003855456
2047233,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,999,1281,40.41044356153144,49.814996102507116,0.003855353
6010312,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1404,636,40.3740617925246,49.94102973686909,0.0038552321
6078429,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1457,224,40.36930072151877,49.90401914716336,0.0038552221
639438,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,312,462,40.472157821550454,49.74142408073773,0.0038552042
2594800,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1266,2032,40.38645854344545,49.882459580344495,0.0038551616
55707,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,27,411,40.49775980714786,49.73684267278872,0.0038550987
6778629,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1998,911,40.3207018646479,49.96573340718238,0.0038550862
2111463,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1030,2023,40.40765878415067,49.88165109658879,0.0038550762
1084283,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,529,891,40.45266437988506,49.779961806426456,0.0038550298
2251387,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1099,635,40.40146040869025,49.756964935153,0.003854781
4603831,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,316,939,40.4717984954368,49.96824868997791,0.0038547649
6105915,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1478,557,40.36741425942211,49.933933046124544,0.0038546068
2355741,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1150,541,40.39687900074124,49.748520771482276,0.0038546002
6593958,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1855,1139,40.33354777321081,49.9862149956603,0.003854448
3794853,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1852,1957,40.33381726779604,49.8757222157136,0.003854321
65043,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,31,1555,40.49740048103421,49.839609941292,0.0038542927
4613334,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,324,98,40.47107984320951,49.892700374583455,0.0038542915
3274779,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1599,27,40.356544644484266,49.70234736587853,0.0038542731
4165507,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,2033,1923,40.31755776115348,49.872667943747594,0.0038541919
3583252,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1749,1300,40.34306991522248,49.81670290154695,0.003854167
2058402,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1005,162,40.409904572360965,49.71447462221415,0.0038541309
6593808,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1855,989,40.33354777321081,49.9727402663985,0.0038540657
3924856,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1916,888,40.32806804997768,49.779692311841224,0.0038540564
7245504,Baku_Sentinel_TimeSeries-0000002048-0000002048.tif,25,123,40.31396450001701,49.89494616279376,0.0038538873
